,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
13225,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,D,A,A,P,H,A,A,A,G,F,G,F,B,BI,CS,C,F,K,A,K,HM,0.634734,0.785784,0.336963,0.894723,0.882274,0.456654,0.47365,0.36083,0.46853,0.51666,0.4961,0.485119,0.363547,0.74184,1835.1
13265,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,B,B,D,B,A,A,A,A,A,D,C,C,D,A,D,T,K,A,A,A,K,F,G,L,K,BI,EG,A,A,L,E,P,LN,0.612965,0.358319,0.26357,0.761209,0.281143,0.78973,0.703039,0.82252,0.58325,0.79863,0.784967,0.772574,0.859764,0.412801,646.52
13283,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,A,A,C,B,B,B,A,A,A,B,A,C,D,D,E,C,A,P,I,A,A,A,F,G,H,F,B,BI,CG,I,N,BM,A,J,GS,0.465671,0.15999,0.54977,0.383428,0.696981,0.303881,0.353778,0.36083,0.36091,0.36458,0.430255,0.481306,0.268941,0.598753,1245
13708,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,D,B,A,A,A,G,H,D,D,C,E,A,D,T,F,A,A,B,K,E,E,K,K,BI,EB,A,AS,Y,A,Q,LO,0.71225,0.620805,0.26357,0.62377,0.534484,0.897528,0.573642,0.64577,0.64296,0.79863,0.797841,0.785706,0.870644,0.708783,1021.85
14097,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,D,A,A,P,N,A,A,A,G,F,G,F,B,BI,CS,E,AH,K,A,K,HM,0.634734,0.785784,0.336963,0.894723,0.882274,0.456654,0.47365,0.36083,0.46853,0.51666,0.4961,0.485119,0.363547,0.254034,806.18
15059,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,B,D,C,B,A,B,D,B,A,A,A,G,H,D,D,C,E,C,D,T,I,A,A,A,E,F,G,J,E,BI,CL,A,A,A,N,N,DH,0.356663,0.620805,0.944251,0.267727,0.491114,0.564672,0.678809,0.32843,0.34365,0.55533,0.6075,0.594646,0.576071,0.404955,3731.32
15163,A,B,A,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,B,E,E,D,A,S,J,G,A,E,C,E,N,N,I,BI,EL,A,AV,BH,A,P,BY,0.112756,0.422197,0.592681,0.176921,0.281143,0.17682,0.247077,0.24123,0.2418,0.20496,0.164865,0.163548,0.556425,0.313163,3115.28
15437,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,B,D,B,B,C,B,B,B,A,A,A,B,H,D,D,D,E,C,A,P,F,A,A,A,G,H,G,F,B,BI,BT,G,K,AX,N,K,HK,0.538034,0.358319,0.673861,0.432728,0.517162,0.421047,0.532679,0.3128,0.4832,0.45017,0.695685,0.682413,0.351299,0.363146,5138.76
15685,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,C,B,C,C,A,C,A,C,D,C,A,A,A,G,H,C,D,C,E,C,D,T,I,A,A,A,G,G,F,J,E,BI,CL,A,AS,A,J,M,HV,0.51056,0.785784,0.762059,0.275813,0.491114,0.730341,0.844671,0.30768,0.42289,0.7877,0.797841,0.785706,0.669664,0.714791,1970.02
15836,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,C,C,B,B,C,B,B,B,A,A,A,G,H,D,B,D,E,D,A,P,I,A,A,A,C,D,K,G,B,AB,EL,A,AN,BM,F,K,CB,0.250788,0.061,0.397983,0.364302,0.281143,0.168258,0.258789,0.24564,0.22234,0.19782,0.148392,0.147518,0.222124,0.276902,864.64
15933,A,B,B,A,A,A,A,A,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,B,C,B,B,C,B,B,C,A,A,B,A,A,D,B,D,E,E,A,P,L,G,A,A,C,E,L,G,B,K,EL,A,AK,AE,A,K,CB,0.286052,0.15999,0.462347,0.222469,0.302678,0.167437,0.307207,0.27797,0.32311,0.22755,0.160614,0.159414,0.250991,0.466651,3324.6
16354,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,C,A,C,C,A,A,C,C,B,C,A,A,A,A,A,C,D,D,E,C,A,P,B,D,A,A,E,E,G,F,B,BI,CL,A,AK,K,A,K,DJ,0.513457,0.785784,0.54977,0.594598,0.902259,0.421047,0.412356,0.62918,0.5063,0.37493,0.338312,0.331643,0.315758,0.472378,1544.23
16572,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,C,E,E,A,K,N,D,A,A,C,E,L,H,A,K,EL,A,N,AE,A,K,CB,0.175555,0.15999,0.462347,0.222469,0.288217,0.164992,0.198834,0.24123,0.32311,0.22755,0.160614,0.159414,0.236253,0.603395,476.44
17014,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,A,B,C,B,B,B,A,A,A,A,A,C,D,C,G,E,A,N,J,A,A,A,D,D,I,H,B,BI,CO,C,AF,BM,C,L,EL,0.29201,0.737068,0.634224,0.62377,0.281143,0.314937,0.413673,0.67263,0.38249,0.29595,0.228492,0.225288,0.363547,0.211145,668.12
17647,A,B,B,A,B,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,D,B,D,B,D,C,B,A,C,A,A,B,A,A,D,D,A,E,E,A,E,L,G,A,B,F,G,G,G,H,BI,AY,A,AS,AT,A,I,HC,0.128744,0.199504,0.484196,0.309621,0.364322,0.318245,0.802615,0.50658,0.18685,0.24355,0.511698,0.500382,0.158869,0.71518,7609.18
17801,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,B,B,A,A,A,G,H,D,D,C,G,E,A,N,F,A,A,C,C,D,I,H,B,BI,CO,A,U,BM,A,M,EK,0.284869,0.555782,0.61366,0.514031,0.281143,0.287716,0.413792,0.67263,0.38249,0.26029,0.169206,0.167768,0.363547,0.295602,829.85
18480,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,A,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,I,A,A,D,F,F,H,G,B,BI,CL,A,U,BN,A,L,GN,0.403067,0.127059,0.506105,0.318422,0.585792,0.33558,0.432656,0.38318,0.38846,0.28677,0.415029,0.40609,0.324464,0.295305,978.08
19026,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,C,B,D,B,D,A,A,B,H,D,D,C,D,A,C,T,F,A,A,B,K,F,F,G,G,BI,CS,A,Y,L,A,O,LN,0.907272,0.737068,0.336963,0.761209,0.372405,0.843479,0.502621,0.96024,0.93383,0.8351,0.832976,0.832658,0.81255,0.434167,1006.82
19889,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,A,A,C,B,B,B,A,A,A,B,A,C,D,D,E,C,A,P,I,C,A,A,E,E,H,G,B,BI,CL,G,F,BN,A,K,FB,0.338258,0.620805,0.506105,0.327354,0.951977,0.364464,0.321243,0.49462,0.29269,0.36458,0.341813,0.335036,0.324464,0.746164,2050.5
20509,A,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,C,C,C,C,B,A,B,B,B,A,A,A,G,H,D,D,D,E,C,A,P,F,C,A,B,E,F,H,F,B,BI,BT,A,AS,AX,A,K,DP,0.497513,0.737068,0.54977,0.452887,0.499798,0.350956,0.363768,0.58354,0.44352,0.39599,0.341813,0.352251,0.339244,0.736872,3841.4
20576,A,B,A,A,B,A,B,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,D,B,C,B,B,C,B,B,C,A,B,A,B,H,D,D,D,E,C,A,P,F,G,A,B,E,F,H,F,B,BI,BT,A,AH,AX,A,K,DP,0.497513,0.737068,0.54977,0.452887,0.499798,0.350956,0.363768,0.58354,0.44352,0.39599,0.341813,0.352251,0.339244,0.24241,11198.08
20624,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,A,A,C,B,B,B,A,A,A,B,A,C,D,C,E,E,A,N,I,C,A,A,D,E,J,G,B,AB,EL,A,AH,AF,A,L,CR,0.32286,0.358319,0.54977,0.208655,0.38056,0.221699,0.260515,0.25461,0.31399,0.26029,0.24541,0.241676,0.287682,0.240486,750.32
20710,A,B,A,B,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,B,G,A,A,G,I,F,G,D,BI,CI,E,AV,AG,A,L,HV,0.457024,0.785784,0.909173,0.222469,0.288217,0.532062,0.752048,0.37194,0.5042,0.34928,0.853569,0.884122,0.336261,0.305259,1527.77
20724,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,B,D,B,D,B,B,B,B,C,B,B,B,A,A,A,C,A,D,D,D,E,C,A,P,H,A,B,E,F,F,F,G,D,BI,CL,A,G,AT,A,K,GU,0.324129,0.555782,0.673861,0.24439,0.356315,0.48595,0.722434,0.57771,0.39447,0.26459,0.562081,0.549834,0.26115,0.208403,18205.46
21118,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,C,B,B,C,B,B,B,A,A,A,A,A,D,B,A,E,C,A,F,G,A,A,A,H,F,G,E,H,AB,EB,E,AR,X,A,H,FT,0.390575,0.299102,0.174588,0.882607,0.281143,0.358493,0.476112,0.50658,0.28922,0.52775,0.415029,0.40609,0.213045,0.427416,4195.15
21267,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,B,B,C,B,C,D,A,A,A,B,H,D,D,E,E,G,E,R,F,A,B,A,G,F,F,I,F,BI,CO,A,AF,AE,A,N,HK,0.642763,0.555782,0.54977,0.327354,0.718531,0.690216,0.498919,0.33906,0.62542,0.73106,0.622276,0.609277,0.687115,0.21448,5539.12
21455,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,D,B,B,D,D,D,B,C,B,B,B,A,A,A,A,A,D,B,D,E,A,A,P,N,A,A,C,F,E,G,E,B,BI,EG,A,N,I,A,J,HA,0.553846,0.100099,0.201309,0.696873,0.388783,0.393517,0.31079,0.23688,0.43731,0.50556,0.291268,0.301921,0.301535,0.60345,1626.9
22556,A,B,A,A,A,A,A,A,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,D,B,D,B,D,B,B,C,B,B,B,A,A,A,B,A,D,D,E,E,D,A,S,D,J,A,A,C,D,L,K,I,BI,CO,A,AS,AE,A,N,BY,0.125526,0.555782,0.61366,0.236924,0.858841,0.183243,0.251696,0.40028,0.21374,0.19431,0.167024,0.165648,0.40452,0.350982,2163.81
22702,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,H,C,A,A,F,H,H,F,B,BI,CS,A,E,AE,A,K,GS,0.503312,0.488789,0.792378,0.309621,0.61906,0.337155,0.340247,0.26847,0.41471,0.44467,0.644013,0.630853,0.318646,0.825618,836.81
22869,A,B,A,B,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,A,A,D,B,C,E,E,C,T,L,I,A,A,E,E,J,I,G,BI,EB,C,AR,Y,A,O,DF,0.451274,0.358319,0.37718,0.753703,0.281143,0.311396,0.267148,0.37194,0.4916,0.32935,0.25418,0.250169,0.566274,0.414862,2051.72
22930,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,B,C,E,A,D,T,I,A,A,B,K,E,F,J,K,BI,EB,A,AV,Y,E,P,LO,0.689151,0.199504,0.150744,0.62377,0.543117,0.801769,0.603981,0.64577,0.64489,0.79139,0.588753,0.665644,0.820538,0.311561,764.99
22961,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,C,D,D,E,C,A,P,L,C,A,A,F,G,I,F,B,BI,BT,A,E,AE,A,K,GS,0.470002,0.15999,0.484196,0.309621,0.61906,0.287716,0.357736,0.26847,0.39447,0.37493,0.453334,0.443374,0.310026,0.815038,2433.47
22967,A,B,B,A,A,A,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,A,C,D,B,C,A,A,B,B,H,D,B,A,E,C,A,F,F,C,E,A,E,D,G,E,A,AB,T,A,AH,M,A,J,DJ,0.540916,0.358319,0.397983,0.594598,0.456483,0.410193,0.500647,0.40028,0.37655,0.32935,0.275431,0.270746,0.258586,0.237724,3084.19
23116,A,B,A,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,B,D,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,G,G,A,B,E,E,H,G,B,BI,CR,A,AV,M,A,L,DJ,0.496063,0.681761,0.592681,0.594598,0.594196,0.386522,0.366858,0.41762,0.43524,0.42284,0.352419,0.345316,0.372852,0.305913,5163.9
23240,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,C,A,P,I,A,A,A,E,E,I,F,B,BQ,V,C,AS,BM,J,K,DJ,0.475784,0.358319,0.440642,0.534409,0.78323,0.326207,0.365369,0.36083,0.39849,0.39599,0.29775,0.292356,0.339244,0.724448,4036.27
23820,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,B,B,B,A,B,B,B,A,A,A,G,H,D,D,D,E,C,A,P,I,A,A,A,F,G,I,G,B,BI,V,A,E,BM,C,K,GS,0.475784,0.422197,0.54977,0.383428,0.696981,0.331919,0.33616,0.36083,0.39849,0.39599,0.4922,0.481306,0.351299,0.826773,1330.83
24115,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,I,A,A,A,G,G,H,J,K,BI,BP,G,E,BM,E,N,HK,0.464228,0.785784,0.692825,0.564742,0.937553,0.571021,0.547144,0.6984,0.45391,0.64056,0.708732,0.698722,0.666708,0.808718,1031.16
24482,B,B,B,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,A,B,C,B,B,D,A,A,B,B,H,C,D,C,E,E,A,N,F,C,A,A,D,E,K,J,B,BI,CO,A,AS,AX,A,N,CK,0.220528,0.737068,0.506105,0.422727,0.525831,0.233692,0.244789,0.70342,0.30859,0.2123,0.197173,0.194925,0.41743,0.72176,3997.74
25914,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,A,D,D,A,B,C,B,D,B,D,A,A,A,A,C,B,C,E,G,C,T,I,C,A,B,K,D,E,I,G,BI,EL,A,AP,Y,A,Q,LO,0.888151,0.358319,0.150744,0.62377,0.388783,0.924096,0.531696,0.34987,0.89098,0.8351,0.644013,0.665644,0.903784,0.353668,789.98
26075,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,C,E,C,A,D,K,A,A,A,F,F,F,F,D,BI,CS,A,AF,H,C,J,GS,0.362003,0.737068,0.692825,0.284048,0.317541,0.464543,0.791521,0.70839,0.43111,0.36974,0.569745,0.55738,0.231475,0.21101,1254.37
26078,A,B,B,A,A,A,A,B,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,D,B,B,B,B,A,B,C,B,B,B,A,A,B,B,H,C,D,A,E,C,A,F,F,F,C,A,D,F,G,H,A,BI,CL,A,AN,BN,A,K,EC,0.268622,0.681761,0.944251,0.432728,0.955056,0.442105,0.650552,0.51853,0.29269,0.38541,0.453334,0.443374,0.307181,0.279324,2644.81
26463,A,B,A,A,B,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,E,A,P,L,M,A,B,D,E,J,G,B,AB,EB,A,AK,X,A,L,CR,0.283689,0.358319,0.440642,0.886774,0.422268,0.21587,0.263205,0.64027,0.31945,0.21983,0.217678,0.214808,0.293178,0.485618,1821.3
